,time1,time2,time3,time4,time5
0,9999.0,9999.0,9999.0,9999.0,9999.0
1,9999.0,18.580000000000002,24.93,9999.0,14.129999999999999
2,6.96,9.39,9.39,14.39,7.5600000000000005
3,11.83,25.910000000000004,29.830000000000002,34.58,11.98
4,16.08,12.1,16.08,31.82,14.030000000000001
5,0.0,9.33,5.0,17.869999999999997,9999.0
6,20.799999999999997,13.66,9999.0,13.66,7.5600000000000005
7,7.5600000000000005,37.94,10.969999999999999,27.990000000000006,20.799999999999997
8,10.969999999999999,11.559999999999999,9999.0,11.559999999999999,6.62
9,37.94,26.369999999999997,11.559999999999999,15.350000000000001,18.84
10,10.969999999999999,9999.0,15.350000000000001,6.62,20.799999999999997
11,2.53,2.53,17.46,12.01,0.0
12,7.23,25.86,72.56,23.919999999999998,72.56
13,12.18,33.33,11.01,40.839999999999996,72.56
14,17.869999999999997,7.52,0.0,4.32,5.0
15,9999.0,16.55,0.0,9.33,4.32
16,9999.0,9.33,17.869999999999997,9999.0,6.25
17,12.469999999999999,34.77,22.98,38.85,18.1
18,14.129999999999999,18.580000000000002,25.23,13.55,9999.0
19,18.84,12.969999999999999,0.0,11.559999999999999,15.350000000000001
20,9999.0,18.84,9999.0,9999.0,24.460000000000004
21,24.460000000000004,9999.0,16.25,7.5600000000000005,26.369999999999997
22,24.460000000000004,12.969999999999999,4.23,9999.0,4.23
23,4.23,12.969999999999999,21.090000000000003,37.94,10.969999999999999
24,6.25,5.0,7.52,5.0,17.869999999999997
25,37.88,19.7,21.42,15.3,18.3
26,9999.0,37.94,0.0,0.0,17.910000000000004
27,36.67,15.68,18.21,0.0,18.36
28,15.53,26.12,14.21,12.17,16.19
29,6.2299999999999995,9.18,10.329999999999998,3.92,3.92
30,5.42,9999.0,9.18,38.05,15.129999999999999
31,3.92,3.92,6.48,10.329999999999998,9999.0
32,38.05,5.42,5.42,15.129999999999999,15.200000000000001
33,4.7299999999999995,6.58,20.38,6.04,9999.0
34,6.04,9999.0,16.08,2.57,9999.0
35,1.93,10.129999999999999,6.58,2.57,6.04
36,8.25,4.7299999999999995,6.04,4.7299999999999995,10.98
37,9999.0,9999.0,9999.0,9999.0,9999.0
38,9999.0,9999.0,9999.0,9999.0,9999.0
39,7.5600000000000005,3.33,9.39,14.39,7.5600000000000005
40,9999.0,9999.0,9999.0,9999.0,9999.0
41,9999.0,9999.0,7.52,9.33,5.0
42,4.3,21.0,17.83,0.0,5.12
43,21.0,5.22,4.3,9.94,9999.0
44,19.509999999999998,5.12,17.83,6.05,9999.0
45,21.0,8.2,5.12,12.83,6.05
46,5.12,17.83,19.509999999999998,6.05,21.0
47,5.03,19.75,16.15,6.62,22.3
48,24.209999999999997,22.3,5.03,5.03,6.62
49,0.0,9.1,9999.0,9.1,6.05
50,9999.0,8.2,21.0,19.509999999999998,21.0
51,12.129999999999999,8.2,0.0,5.22,0.0
