,time1,time2,time3,time4,time5
0,9999.0,9999.0,9999.0,9999.0,9999.0
1,9999.0,147.57,193.63,9999.0,155.57
2,50.73,71.0,71.0,107.43,63.949999999999996
3,129.15,180.82999999999998,279.7,224.48999999999998,109.26
4,136.81,92.91,136.81,288.55,94.22999999999999
5,0.0,106.32,36.43,185.19,9999.0
6,174.54,103.1,9999.0,103.1,63.949999999999996
7,63.949999999999996,413.3,81.81,232.26999999999998,174.54
8,81.81,87.33,9999.0,87.33,58.28
9,413.3,225.33999999999997,87.33,121.30000000000001,166.15
10,81.81,9999.0,121.30000000000001,58.28,174.54
11,13.68,13.68,139.57,93.01,0.0
12,102.22,306.59000000000003,562.29,241.51,562.29
13,167.59,360.84000000000003,142.62,422.32,562.29
14,185.19,58.650000000000006,0.0,52.43,36.43
15,9999.0,129.89,0.0,106.32,52.43
16,9999.0,106.32,185.19,9999.0,78.9
17,149.38,336.27,252.29999999999998,372.7,219.19
18,155.57,147.57,229.67,112.47,9999.0
19,166.15,106.86,0.0,87.33,121.30000000000001
20,9999.0,166.15,9999.0,9999.0,185.95
21,185.95,9999.0,124.66,63.949999999999996,225.33999999999997
22,185.95,106.86,38.62,9999.0,38.62
23,38.62,106.86,155.82,413.3,81.81
24,78.9,36.43,58.650000000000006,36.43,185.19
25,398.89,172.04999999999998,182.63,138.2,162.38
26,9999.0,413.3,0.0,0.0,132.34
27,379.81,115.80999999999999,154.35,0.0,149.26000000000002
28,102.38,268.5,110.33000000000001,93.46000000000001,117.25
29,43.25,61.04,67.85,27.35,27.35
30,35.58,9999.0,61.04,331.79999999999995,116.49000000000001
31,27.35,27.35,41.92,67.85,9999.0
32,331.79999999999995,35.58,35.58,116.49000000000001,132.39
33,30.15,34.4,167.91000000000003,41.05,9999.0
34,41.05,9999.0,126.12,10.8,9999.0
35,12.15,67.0,34.4,10.8,41.05
36,51.269999999999996,30.15,41.05,30.15,68.08
37,9999.0,9999.0,9999.0,9999.0,9999.0
38,9999.0,9999.0,9999.0,9999.0,9999.0
39,63.949999999999996,25.33,71.0,107.43,63.949999999999996
40,9999.0,9999.0,9999.0,9999.0,9999.0
41,9999.0,9999.0,58.650000000000006,106.32,36.43
42,32.78,177.53,187.59,0.0,41.15
43,177.53,41.13,32.78,86.5,9999.0
44,160.0,41.15,187.59,59.83,9999.0
45,177.53,67.93,41.15,151.16,59.83
46,41.15,187.59,160.0,59.83,177.53
47,35.1,167.06,117.78,58.28,184.78
48,204.56,184.78,35.1,35.1,58.28
49,0.0,82.78,9999.0,82.78,59.83
50,9999.0,67.93,177.53,160.0,177.53
51,100.45,67.93,0.0,41.13,0.0
52,0.0,9999.0,58.650000000000006,0.0,9999.0
53,58.650000000000006,0.0,0.0,36.43,106.32
54,160.0,210.79,41.15,210.79,0.0
55,59.83,41.15,41.13,67.93,151.16
56,67.93,82.78,41.13,224.60999999999999,187.59
57,41.13,177.53,187.59,86.5,224.60999999999999
58,87.33,63.949999999999996,225.33999999999997,413.3,121.30000000000001
