"tt1","tt2","tt3","tt4","tt5","tt6","tt7","tt8","tt9","tt10"
56.8631507,59.8531507,84.4531507,64.6131507,45.2331507,33.9831507,93.6331507,56.8831507,187.9031507,36.5631507
78.9831507,60.6331507,24.7331507,35.6731507,115.9331507,25.5331507,25.4531507,0.1331507,15.6531507,68.2531507
106.9931507,52.3331507,314.5931507,124.8231507,121.3931507,91.6331507,88.8131507,58.4131507,96.5131507,73.2531507
0.1331507,103.2131507,84.4531507,59.8531507,187.9031507,85.1731507,288.9031507,33.9831507,88.8431507,45.2331507
52.2331507,50.6031507,26.0031507,131.2931507,42.2631507,40.2531507,94.3431507,92.8531507,71.6631507,224.3431507
130.0631507,121.3931507,325.3331507,82.7931507,224.3331507,93.5031507,58.7631507,52.5531507,117.8931507,117.7331507
33.9831507,64.6131507,45.2331507,56.8631507,56.6831507,59.8531507,36.5631507,88.8431507,56.8831507,187.9031507
73.2531507,106.9931507,314.5931507,103.2131507,58.4131507,213.5931507,121.3931507,88.8131507,52.3331507,64.1331507
121.3931507,79.1431507,58.4131507,38.7331507,62.7631507,91.6331507,73.2531507,103.2131507,106.9931507,64.1331507
155.3131507,66.5431507,256.3131507,88.1331507,48.7131507,58.4131507,88.8431507,117.8931507,60.6331507,71.6631507
57.9131507,131.3531507,232.3531507,65.7131507,37.0831507,24.7531507,50.3031507,93.1131507,104.3031507,61.4531507
86.0731507,207.7331507,24.7531507,0.1331507,81.3031507,106.7331507,81.3131507,106.9931507,84.3231507,128.9231507
57.9131507,37.0831507,96.5131507,50.3031507,65.7131507,0.1331507,131.3531507,56.6831507,94.3431507,78.9831507
47.3831507,36.5631507,92.8531507,71.6631507,224.3431507,24.7331507,117.7431507,94.3431507,50.6031507,131.2931507
40.5431507,25.5331507,64.6131507,50.8531507,94.8631507,24.1631507,288.9131507,35.2331507,57.9131507,13.7331507
130.0631507,93.5031507,68.2531507,52.5531507,224.3331507,36.5631507,58.7631507,0.1331507,117.7331507,82.7931507
124.8231507,79.1431507,106.9931507,91.6331507,52.3331507,0.1331507,103.2131507,64.1331507,62.7631507,121.3931507
64.6131507,36.5631507,187.9131507,25.5331507,13.7331507,81.3131507,35.2331507,94.8631507,24.1631507,288.9131507
91.6331507,64.1331507,96.5131507,62.7631507,58.4131507,73.2531507,213.5931507,314.5931507,124.8231507,0.1331507
50.2131507,81.3131507,40.5431507,25.5331507,53.0331507,35.2331507,38.7331507,13.7331507,64.6131507,82.7931507
70.4131507,36.5631507,117.7331507,92.8531507,224.3331507,0.1331507,121.3931507,32.7131507,93.5031507,68.2531507
66.5431507,256.3131507,50.3031507,155.3131507,35.2331507,48.7131507,117.8931507,60.6331507,88.1331507,85.3131507
85.9531507,59.2631507,88.8431507,0.1331507,48.7131507,35.2331507,58.4131507,155.3131507,75.6431507,256.3131507
0.1331507,117.7331507,36.5631507,93.1131507,82.7931507,325.3331507,121.3931507,93.5031507,70.4131507,68.2531507
88.1331507,60.6331507,48.7131507,48.8331507,0.1331507,75.6431507,85.3131507,58.4131507,256.3131507,35.2331507
107.2031507,117.7331507,128.9231507,103.6031507,24.7531507,17.9631507,90.3331507,48.7131507,81.3031507,117.7431507
35.2331507,88.1331507,117.8931507,59.2631507,256.3131507,50.3031507,155.3131507,88.8431507,85.9531507,75.6431507
0.1331507,64.6131507,36.5631507,38.7331507,57.9131507,53.0331507,40.5431507,81.3131507,187.9131507,50.2131507
88.1331507,48.7131507,66.5431507,75.6431507,50.3031507,256.3131507,59.2631507,88.8431507,117.8931507,85.3131507
24.1631507,288.9131507,50.8531507,25.5331507,40.5431507,53.0331507,64.6131507,57.9131507,36.5631507,35.2331507
70.4131507,93.5031507,121.3931507,32.7131507,58.7631507,82.7931507,325.3331507,224.3331507,0.1331507,52.5531507
130.0631507,119.5331507,98.4031507,108.4631507,141.2531507,17.9631507,115.9331507,124.8231507,196.6231507,37.0831507
38.7331507,50.2131507,0.1331507,50.8531507,13.7331507,94.8631507,53.0331507,24.1631507,25.5331507,36.5631507
108.4631507,94.8631507,17.9631507,95.6231507,0.1331507,124.8231507,93.6331507,98.4031507,115.9331507,141.2531507
0.1331507,155.3131507,75.6431507,85.9531507,48.8331507,117.8931507,35.2331507,59.2631507,85.3131507,88.1331507
94.9131507,106.7331507,90.3331507,24.7531507,117.7331507,86.0731507,81.3031507,207.7331507,128.9231507,81.3131507
58.4131507,79.1431507,213.5931507,91.6331507,314.5931507,47.3831507,62.7631507,121.3931507,106.9931507,38.7331507
93.1131507,121.3931507,32.7131507,325.3331507,52.5531507,70.4131507,68.2531507,92.8531507,42.3831507,58.7631507
119.5331507,107.2031507,91.6331507,56.8631507,43.1531507,52.2331507,314.8031507,213.8031507,0.1331507,53.0331507
92.8531507,0.1331507,224.3331507,121.3931507,70.4131507,36.5631507,32.7131507,325.3331507,93.1131507,117.8931507
41.0831507,39.3931507,119.5331507,107.2031507,52.5531507,43.1531507,88.1331507,32.6831507,27.6331507,91.6331507
85.1731507,288.9031507,93.6331507,59.8531507,88.8431507,24.3131507,33.9831507,0.1331507,45.2331507,56.8631507
121.3931507,93.1131507,52.5531507,36.5631507,117.8931507,32.7131507,58.7631507,325.3331507,224.3331507,0.1331507
62.7631507,103.2131507,124.8231507,91.6331507,88.8131507,38.7331507,121.3931507,314.5931507,73.2531507,96.5131507
24.7531507,117.7431507,84.3231507,17.9631507,90.3331507,48.7131507,107.2031507,128.9231507,0.1331507,106.7331507
85.1731507,103.2131507,33.9831507,56.6831507,56.8831507,45.2331507,84.4531507,24.3131507,288.9031507,36.5631507
224.3331507,70.4131507,130.0631507,58.7631507,92.8531507,117.8931507,93.5031507,52.5531507,68.2531507,36.5631507
47.3831507,91.6331507,62.7631507,38.7331507,96.5131507,58.4131507,121.3931507,64.1331507,79.1431507,73.2531507
84.3231507,117.7331507,86.0731507,106.7331507,207.7331507,106.9931507,103.6031507,17.9631507,107.2031507,81.3131507
45.2331507,56.6831507,85.1731507,24.3131507,288.9031507,56.8831507,84.4531507,33.9831507,93.6331507,103.2131507
84.3231507,0.1331507,117.7431507,90.3331507,103.6031507,24.7531507,128.9231507,81.3131507,86.0731507,117.7331507
50.2131507,64.6131507,57.9131507,0.1331507,82.7931507,25.5331507,288.9131507,13.7331507,94.8631507,50.8531507
52.5531507,224.3331507,92.8531507,93.1131507,121.3931507,68.2531507,82.7931507,0.1331507,42.3831507,117.8931507
48.7131507,155.3131507,88.1331507,58.4131507,88.8431507,60.6331507,85.3131507,117.8931507,256.3131507,0.1331507
81.3131507,64.6131507,36.5631507,53.0331507,25.5331507,13.7331507,288.9131507,94.8631507,35.2331507,0.1331507
53.0331507,35.2331507,81.3131507,57.9131507,24.1631507,288.9131507,94.8631507,25.5331507,38.7331507,82.7931507
24.3131507,0.1331507,59.8531507,56.8631507,64.6131507,56.6831507,103.2131507,56.8831507,45.2331507,288.9031507
0.1331507,59.8531507,56.8831507,288.9031507,33.9831507,85.1731507,81.3031507,103.2131507,36.5631507,93.6331507
93.1131507,68.2531507,0.1331507,82.7931507,42.3831507,70.4131507,32.7131507,93.5031507,58.7631507,92.8531507
33.9831507,24.3131507,93.6331507,56.8831507,187.9031507,56.8631507,36.5631507,103.2131507,85.1731507,56.6831507
82.7931507,92.8531507,93.5031507,130.0631507,224.3331507,70.4131507,117.7331507,68.2531507,58.7631507,32.7131507
103.2131507,288.9031507,64.6131507,56.8831507,85.1731507,56.6831507,88.8431507,81.3031507,24.3131507,56.8631507
103.2131507,0.1331507,56.8631507,93.6331507,36.5631507,45.2331507,288.9031507,81.3031507,56.8831507,88.8431507
121.3931507,0.1331507,325.3331507,70.4131507,93.1131507,68.2531507,58.7631507,36.5631507,117.8931507,224.3331507
45.2331507,56.8831507,56.6831507,33.9831507,0.1331507,24.3131507,93.6331507,36.5631507,81.3031507,85.1731507
94.8631507,13.7331507,81.3131507,50.8531507,25.5331507,288.9131507,53.0331507,187.9131507,35.2331507,40.5431507
108.4631507,0.1331507,119.5331507,94.8631507,95.6231507,131.2931507,17.9631507,96.6531507,196.6231507,93.6331507
24.3131507,103.2131507,36.5631507,64.6131507,187.9031507,84.4531507,45.2331507,93.6331507,88.8431507,0.1331507
42.9831507,86.0731507,11.7831507,293.6731507,45.2331507,17.6631507,192.6731507,59.2631507,98.4031507,24.1631507
288.9131507,64.6131507,81.3131507,82.7931507,57.9131507,53.0331507,13.7331507,50.2131507,35.2331507,36.5631507
26.1831507,11.7831507,98.4031507,61.4531507,24.1631507,58.7631507,0.1331507,42.9831507,42.2631507,17.6631507
288.9031507,88.8431507,24.3131507,59.8531507,56.8831507,81.3031507,187.9031507,64.6131507,85.1731507,93.6331507
59.2631507,62.7631507,293.6731507,42.9831507,39.3931507,192.6731507,16.5131507,45.2331507,11.7831507,26.1831507
33.9831507,56.8831507,56.6831507,81.3031507,288.9031507,85.1731507,64.6131507,45.2331507,93.6331507,84.4531507
26.1831507,192.6731507,11.7831507,42.9831507,62.7631507,42.2631507,17.6631507,24.1631507,59.2631507,293.6731507
24.1631507,94.8631507,57.9131507,35.2331507,64.6131507,81.3131507,50.8531507,288.9131507,82.7931507,40.5431507
88.8431507,66.5431507,59.2631507,50.3031507,85.9531507,58.4131507,75.6431507,256.3131507,85.3131507,60.6331507
50.8531507,53.0331507,35.2331507,187.9131507,82.7931507,13.7331507,40.5431507,50.2131507,0.1331507,81.3131507
128.9231507,117.7431507,81.3031507,103.6031507,24.7531507,84.3231507,207.7331507,81.3131507,106.9931507,48.7131507
130.0631507,92.8531507,117.8931507,325.3331507,82.7931507,93.5031507,224.3331507,68.2531507,52.5531507,121.3931507
26.0031507,85.9531507,85.1731507,60.9931507,0.1331507,51.3231507,93.5031507,73.2531507,104.3031507,235.5231507
64.6131507,57.9131507,13.7331507,187.9131507,25.5331507,288.9131507,38.7331507,50.8531507,53.0331507,35.2331507
131.3531507,101.1331507,210.2031507,187.9131507,213.8031507,0.1331507,106.7331507,187.9031507,155.3131507,224.3431507
224.3331507,213.8031507,224.3431507,187.9131507,106.7331507,155.3131507,101.1331507,201.5131507,131.3531507,235.5231507
