"dist1","dist2","dist3","dist4","dist5","dist6","dist7","dist8","dist9","dist10"
1.8827511,2.0318799,2.8396609,2.0940169,1.4850743,1.1743893,3.231124,1.8454689,5.2567902,1.3483729
2.5538307,2.0318799,0.869918,1.2551674,3.7095789,0.9569098,0.8637043,0.062137,0.5530193,1.9821703
3.7468611,1.6466305,7.4937222,4.3247352,3.5853049,3.0571404,2.858302,2.1064443,3.4858857,2.7588828
0.062137,3.2746199,2.8396609,2.0318799,5.2567902,2.8334472,6.400111,1.1743893,3.168987,1.4850743
1.7895456,1.7522634,0.869918,4.5049325,1.4167236,1.3608003,3.3616117,2.7899513,2.2866416,7.4440126
4.1383242,3.5853049,7.4999359,2.4047019,6.5430261,2.6470362,1.6466305,1.2986633,3.479672,3.7530748
1.1743893,2.0940169,1.4850743,1.8827511,2.0753758,2.0318799,1.3483729,3.168987,1.8454689,5.2567902
2.7588828,3.7468611,7.4937222,3.2746199,2.1064443,7.2638153,3.5853049,2.858302,1.6466305,2.1375128
3.5853049,2.547617,2.1064443,1.24274,2.0070251,3.0571404,2.7588828,3.2746199,3.7468611,2.1375128
5.219508,2.2804279,5.4494149,2.9515075,1.7025538,2.1064443,3.168987,3.479672,2.0318799,2.2866416
2.3052827,4.34959,4.5794969,2.2555731,1.2178852,0.8326358,1.9697429,2.982576,3.355398,2.0070251
2.7775239,3.8089981,0.8326358,0.062137,2.8458746,3.5790912,2.7775239,3.7468611,2.7153869,4.1258968
2.3052827,1.2178852,3.4858857,1.9697429,2.2555731,0.062137,4.34959,2.0753758,3.3616117,2.5538307
1.9511018,1.2116715,2.7899513,2.2866416,7.4440126,0.869918,3.9270584,3.3616117,1.7522634,4.5049325
1.367014,0.9569098,2.0940169,1.7584771,3.355398,0.8264221,6.524385,1.1371071,2.3052827,0.4660275
4.1383242,2.6470362,1.9821703,1.2986633,6.5430261,1.3483729,1.6466305,0.062137,3.7530748,2.4047019
4.3247352,2.547617,3.7468611,3.0571404,1.6466305,0.062137,3.2746199,2.1375128,2.0070251,3.5853049
2.0940169,1.2116715,6.2944781,0.9569098,0.4660275,2.7775239,1.1371071,3.355398,0.8264221,6.524385
3.0571404,2.1375128,3.4858857,2.0070251,2.1064443,2.7588828,7.2638153,7.4937222,4.3247352,0.062137
1.677699,2.7775239,1.367014,0.9569098,1.8765374,1.1371071,1.24274,0.4660275,2.0940169,2.4047019
2.0070251,1.3483729,3.7530748,2.7899513,6.5430261,0.062137,3.5853049,0.7953536,2.6470362,1.9821703
2.2804279,5.4494149,1.9697429,5.219508,1.1371071,1.7025538,3.479672,2.0318799,2.9515075,2.7526691
2.8334472,1.9013922,3.168987,0.062137,1.7025538,1.1371071,2.1064443,5.219508,2.4419841,5.4494149
0.062137,3.7530748,1.3483729,2.982576,2.4047019,7.4999359,3.5853049,2.6470362,2.0070251,1.9821703
2.9515075,2.0318799,1.7025538,1.5409976,0.062137,2.4419841,2.7526691,2.1064443,5.4494149,1.1371071
3.4237487,3.7530748,4.1258968,3.3243295,0.8326358,0.6400111,3.0260719,1.7025538,2.8458746,3.9270584
1.1371071,2.9515075,3.479672,1.9013922,5.4494149,1.9697429,5.219508,3.168987,2.8334472,2.4419841
0.062137,2.0940169,1.2116715,1.24274,2.3052827,1.8765374,1.367014,2.7775239,6.2944781,1.677699
2.9515075,1.7025538,2.2804279,2.4419841,1.9697429,5.4494149,1.9013922,3.168987,3.479672,2.7526691
0.8264221,6.524385,1.7584771,0.9569098,1.367014,1.8765374,2.0940169,2.3052827,1.2116715,1.1371071
2.0070251,2.6470362,3.5853049,0.7953536,1.6466305,2.4047019,7.4999359,6.5430261,0.062137,1.2986633
4.1383242,3.8089981,3.1627733,3.5231679,4.5111462,0.6400111,3.7095789,4.3247352,3.8897762,1.2178852
1.24274,1.677699,0.062137,1.7584771,0.4660275,3.355398,1.8765374,0.8264221,0.9569098,1.2116715
3.5231679,3.355398,0.6400111,3.6598693,0.062137,4.3247352,3.231124,3.1627733,3.7095789,4.5111462
0.062137,5.219508,2.4419841,2.8334472,1.5409976,3.479672,1.1371071,1.9013922,2.7526691,2.9515075
3.1379185,3.5790912,3.0260719,0.8326358,3.7530748,2.7775239,2.8458746,3.8089981,4.1258968,2.7775239
2.1064443,2.547617,7.2638153,3.0571404,7.4937222,1.9511018,2.0070251,3.5853049,3.7468611,1.24274
2.982576,3.5853049,0.7953536,7.4999359,1.2986633,2.0070251,1.9821703,2.7899513,1.0998249,1.6466305
3.8089981,3.4237487,3.0571404,1.8827511,1.4726469,1.7895456,7.1706098,6.9407029,0.062137,1.8765374
2.7899513,0.062137,6.5430261,3.5853049,2.0070251,1.3483729,0.7953536,7.4999359,2.982576,3.479672
1.4105099,1.3173044,3.8089981,3.4237487,1.2986633,1.4726469,2.9515075,1.0811838,0.9817646,3.0571404
2.8334472,6.400111,3.231124,2.0318799,3.168987,0.8637043,1.1743893,0.062137,1.4850743,1.8827511
3.5853049,2.982576,1.2986633,1.3483729,3.479672,0.7953536,1.6466305,7.4999359,6.5430261,0.062137
2.0070251,3.2746199,4.3247352,3.0571404,2.858302,1.24274,3.5853049,7.4937222,2.7588828,3.4858857
0.8326358,3.9270584,2.7153869,0.6400111,3.0260719,1.7025538,3.4237487,4.1258968,0.062137,3.5790912
2.8334472,3.2746199,1.1743893,2.0753758,1.8454689,1.4850743,2.8396609,0.8637043,6.400111,1.3483729
6.5430261,2.0070251,4.1383242,1.6466305,2.7899513,3.479672,2.6470362,1.2986633,1.9821703,1.3483729
1.9511018,3.0571404,2.0070251,1.24274,3.4858857,2.1064443,3.5853049,2.1375128,2.547617,2.7588828
2.7153869,3.7530748,2.7775239,3.5790912,3.8089981,3.7468611,3.3243295,0.6400111,3.4237487,2.7775239
1.4850743,2.0753758,2.8334472,0.8637043,6.400111,1.8454689,2.8396609,1.1743893,3.231124,3.2746199
2.7153869,0.062137,3.9270584,3.0260719,3.3243295,0.8326358,4.1258968,2.7775239,2.7775239,3.7530748
1.677699,2.0940169,2.3052827,0.062137,2.4047019,0.9569098,6.524385,0.4660275,3.355398,1.7584771
1.2986633,6.5430261,2.7899513,2.982576,3.5853049,1.9821703,2.4047019,0.062137,1.0998249,3.479672
1.7025538,5.219508,2.9515075,2.1064443,3.168987,2.0318799,2.7526691,3.479672,5.4494149,0.062137
2.7775239,2.0940169,1.2116715,1.8765374,0.9569098,0.4660275,6.524385,3.355398,1.1371071,0.062137
1.8765374,1.1371071,2.7775239,2.3052827,0.8264221,6.524385,3.355398,0.9569098,1.24274,2.4047019
0.8637043,0.062137,2.0318799,1.8827511,2.0940169,2.0753758,3.2746199,1.8454689,1.4850743,6.400111
0.062137,2.0318799,1.8454689,6.400111,1.1743893,2.8334472,2.8458746,3.2746199,1.3483729,3.231124
2.982576,1.9821703,0.062137,2.4047019,1.0998249,2.0070251,0.7953536,2.6470362,1.6466305,2.7899513
1.1743893,0.8637043,3.231124,1.8454689,5.2567902,1.8827511,1.3483729,3.2746199,2.8334472,2.0753758
2.4047019,2.7899513,2.6470362,4.1383242,6.5430261,2.0070251,3.7530748,1.9821703,1.6466305,0.7953536
3.2746199,6.400111,2.0940169,1.8454689,2.8334472,2.0753758,3.168987,2.8458746,0.8637043,1.8827511
