"drtt1","drtt2","drtt3","drtt4","drtt5","drtt6","drtt7","drtt8","drtt9","drtt10"
7.6565206,8.3965206,13.1265206,9.6065206,6.8565206,4.5265206,11.9965206,9.8565206,17.7165206,5.2265206
12.2565206,9.0565206,4.8365206,5.3765206,18.6765206,4.1265206,4.7065206,0.1065206,2.9765206,7.6765206
12.9665206,7.0065206,26.2865206,16.3365206,15.9765206,11.5565206,12.5865206,6.6865206,13.7065206,12.0065206
0.1065206,13.8865206,13.1265206,8.3965206,17.7165206,12.2065206,21.3665206,4.5265206,14.5365206,6.8565206
7.9865206,8.7065206,5.4865206,19.9065206,7.6065206,7.7065206,14.6465206,12.4065206,10.2565206,28.5065206
17.1165206,15.9765206,26.4865206,11.6965206,22.8365206,9.0765206,7.6765206,4.5265206,16.6265206,16.2465206
4.5265206,9.6065206,6.8565206,7.6565206,7.1565206,8.3965206,5.2265206,14.5365206,9.8565206,17.7165206
12.0065206,12.9665206,26.2865206,13.8865206,6.6865206,24.9365206,15.9765206,12.5865206,7.0065206,8.4065206
15.9765206,11.1865206,6.6865206,4.3865206,8.6165206,11.5565206,12.0065206,13.8865206,12.9665206,8.4065206
18.3565206,9.7565206,19.7065206,12.2065206,6.3865206,6.6865206,14.5365206,16.6265206,9.0565206,10.2565206
9.4265206,16.0465206,17.3965206,10.1065206,6.5265206,4.0765206,10.3565206,12.2765206,16.8565206,9.4865206
13.4565206,13.4265206,4.0765206,0.1065206,11.1265206,12.0765206,11.3165206,12.9665206,13.5265206,19.9365206
9.4265206,6.5265206,13.7065206,10.3565206,10.1065206,0.1065206,16.0465206,7.1565206,14.6465206,12.2565206
6.6265206,5.3265206,12.4065206,10.2565206,28.5065206,4.8365206,16.5365206,14.6465206,8.7065206,19.9065206
6.9065206,4.1265206,9.6065206,8.7265206,14.6865206,4.3365206,24.6365206,5.0365206,9.4265206,2.7265206
17.1165206,9.0765206,7.6765206,4.5265206,22.8365206,5.2265206,7.6765206,0.1065206,16.2465206,11.6965206
16.3365206,11.1865206,12.9665206,11.5565206,7.0065206,0.1065206,13.8865206,8.4065206,8.6165206,15.9765206
9.6065206,5.3265206,23.2865206,4.1265206,2.7265206,11.3165206,5.0365206,14.6865206,4.3365206,24.6365206
11.5565206,8.4065206,13.7065206,8.6165206,6.6865206,12.0065206,24.9365206,26.2865206,16.3365206,0.1065206
8.3065206,11.3165206,6.9065206,4.1265206,7.2765206,5.0365206,4.3865206,2.7265206,9.6065206,11.6965206
