"wktt1","wktt2","wktt3","wktt4","wktt5","wktt6","wktt7","wktt8","wktt9","wktt10"
58.051507,61.051507,85.631507,65.811507,46.431507,35.181507,94.831507,58.081507,189.091507,37.761507
80.181507,61.831507,25.911507,36.871507,117.131507,26.731507,26.651507,1.331507,16.851507,69.471507
108.191507,53.531507,226.721507,126.021507,122.611507,92.831507,90.011507,59.611507,97.711507,74.451507
1.331507,104.411507,85.631507,61.051507,189.091507,86.371507,201.011507,35.181507,90.051507,46.431507
53.411507,51.781507,27.201507,132.491507,43.441507,41.431507,95.541507,94.051507,72.861507,225.551507
131.261507,122.611507,237.441507,84.011507,225.521507,94.711507,59.981507,53.761507,119.111507,118.911507
35.181507,65.811507,46.431507,58.051507,57.881507,61.051507,37.761507,90.051507,58.081507,189.091507
74.451507,108.191507,226.721507,104.411507,59.611507,214.801507,122.611507,90.011507,53.531507,65.331507
122.611507,80.341507,59.611507,39.931507,63.961507,92.831507,74.451507,104.411507,108.191507,65.331507
156.521507,67.741507,168.441507,89.331507,49.911507,59.611507,90.051507,119.111507,61.831507,72.861507
59.111507,132.541507,144.461507,66.901507,38.281507,25.931507,51.511507,94.311507,105.501507,62.651507
87.251507,119.861507,25.931507,1.331507,82.481507,107.941507,82.511507,108.191507,85.501507,130.101507
59.111507,38.281507,97.711507,51.511507,66.901507,1.331507,132.541507,57.881507,95.541507,80.181507
48.581507,37.761507,94.051507,72.861507,225.551507,25.911507,118.941507,95.541507,51.781507,132.491507
41.741507,26.731507,65.811507,52.051507,96.061507,25.361507,201.041507,36.431507,59.111507,14.931507
131.261507,94.711507,69.471507,53.761507,225.521507,37.761507,59.981507,1.331507,118.911507,84.011507
126.021507,80.341507,108.191507,92.831507,53.531507,1.331507,104.411507,65.331507,63.961507,122.611507
65.811507,37.761507,189.121507,26.731507,14.931507,82.511507,36.431507,96.061507,25.361507,201.041507
92.831507,65.331507,97.711507,63.961507,59.611507,74.451507,214.801507,226.721507,126.021507,1.331507
51.411507,82.511507,41.741507,26.731507,54.231507,36.431507,39.931507,14.931507,65.811507,84.011507
71.631507,37.761507,118.911507,94.051507,225.521507,1.331507,122.611507,33.931507,94.711507,69.471507
67.741507,168.441507,51.511507,156.521507,36.431507,49.911507,119.111507,61.831507,89.331507,86.511507
87.151507,60.461507,90.051507,1.331507,49.911507,36.431507,59.611507,156.521507,76.841507,168.441507
1.331507,118.911507,37.761507,94.311507,84.011507,237.441507,122.611507,94.711507,71.631507,69.471507
89.331507,61.831507,49.911507,50.031507,1.331507,76.841507,86.511507,59.611507,168.441507,36.431507
108.371507,118.911507,130.101507,104.781507,25.931507,19.161507,91.501507,49.911507,82.481507,118.941507
36.431507,89.331507,119.111507,60.461507,168.441507,51.511507,156.521507,90.051507,87.151507,76.841507
1.331507,65.811507,37.761507,39.931507,59.111507,54.231507,41.741507,82.511507,189.121507,51.411507
89.331507,49.911507,67.741507,76.841507,51.511507,168.441507,60.461507,90.051507,119.111507,86.511507
25.361507,201.041507,52.051507,26.731507,41.741507,54.231507,65.811507,59.111507,37.761507,36.431507
71.631507,94.711507,122.611507,33.931507,59.981507,84.011507,237.441507,225.521507,1.331507,53.761507
131.261507,120.721507,99.601507,109.661507,142.451507,19.161507,117.131507,126.021507,121.051507,38.281507
39.931507,51.411507,1.331507,52.051507,14.931507,96.061507,54.231507,25.361507,26.731507,37.761507
109.661507,96.061507,19.161507,96.821507,1.331507,126.021507,94.831507,99.601507,117.131507,142.451507
1.331507,156.521507,76.841507,87.151507,50.031507,119.111507,36.431507,60.461507,86.511507,89.331507
96.111507,107.941507,91.501507,25.931507,118.911507,87.251507,82.481507,119.861507,130.101507,82.511507
59.611507,80.341507,214.801507,92.831507,226.721507,48.581507,63.961507,122.611507,108.191507,39.931507
94.311507,122.611507,33.931507,237.441507,53.761507,71.631507,69.471507,94.051507,43.601507,59.981507
120.721507,108.371507,92.831507,58.051507,44.351507,53.411507,226.901507,214.981507,1.331507,54.231507
94.051507,1.331507,225.521507,122.611507,71.631507,37.761507,33.931507,237.441507,94.311507,119.111507
42.281507,40.581507,120.721507,108.371507,53.761507,44.351507,89.331507,33.871507,28.831507,92.831507
86.371507,201.011507,94.831507,61.051507,90.051507,25.511507,35.181507,1.331507,46.431507,58.051507
122.611507,94.311507,53.761507,37.761507,119.111507,33.931507,59.981507,237.441507,225.521507,1.331507
63.961507,104.411507,126.021507,92.831507,90.011507,39.931507,122.611507,226.721507,74.451507,97.711507
25.931507,118.941507,85.501507,19.161507,91.501507,49.911507,108.371507,130.101507,1.331507,107.941507
86.371507,104.411507,35.181507,57.881507,58.081507,46.431507,85.631507,25.511507,201.011507,37.761507
225.521507,71.631507,131.261507,59.981507,94.051507,119.111507,94.711507,53.761507,69.471507,37.761507
48.581507,92.831507,63.961507,39.931507,97.711507,59.611507,122.611507,65.331507,80.341507,74.451507
85.501507,118.911507,87.251507,107.941507,119.861507,108.191507,104.781507,19.161507,108.371507,82.511507
46.431507,57.881507,86.371507,25.511507,201.011507,58.081507,85.631507,35.181507,94.831507,104.411507
85.501507,1.331507,118.941507,91.501507,104.781507,25.931507,130.101507,82.511507,87.251507,118.911507
51.411507,65.811507,59.111507,1.331507,84.011507,26.731507,201.041507,14.931507,96.061507,52.051507
53.761507,225.521507,94.051507,94.311507,122.611507,69.471507,84.011507,1.331507,43.601507,119.111507
49.911507,156.521507,89.331507,59.611507,90.051507,61.831507,86.511507,119.111507,168.441507,1.331507
82.511507,65.811507,37.761507,54.231507,26.731507,14.931507,201.041507,96.061507,36.431507,1.331507
54.231507,36.431507,82.511507,59.111507,25.361507,201.041507,96.061507,26.731507,39.931507,84.011507
25.511507,1.331507,61.051507,58.051507,65.811507,57.881507,104.411507,58.081507,46.431507,201.011507
1.331507,61.051507,58.081507,201.011507,35.181507,86.371507,82.481507,104.411507,37.761507,94.831507
94.311507,69.471507,1.331507,84.011507,43.601507,71.631507,33.931507,94.711507,59.981507,94.051507
35.181507,25.511507,94.831507,58.081507,189.091507,58.051507,37.761507,104.411507,86.371507,57.881507
84.011507,94.051507,94.711507,131.261507,225.521507,71.631507,118.911507,69.471507,59.981507,33.931507
104.411507,201.011507,65.811507,58.081507,86.371507,57.881507,90.051507,82.481507,25.511507,58.051507
104.411507,1.331507,58.051507,94.831507,37.761507,46.431507,201.011507,82.481507,58.081507,90.051507
122.611507,1.331507,237.441507,71.631507,94.311507,69.471507,59.981507,37.761507,119.111507,225.521507
46.431507,58.081507,57.881507,35.181507,1.331507,25.511507,94.831507,37.761507,82.481507,86.371507
96.061507,14.931507,82.511507,52.051507,26.731507,201.041507,54.231507,189.121507,36.431507,41.741507
109.661507,1.331507,120.721507,96.061507,96.821507,132.491507,19.161507,97.851507,121.051507,94.831507
25.511507,104.411507,37.761507,65.811507,189.091507,85.631507,46.431507,94.831507,90.051507,1.331507
44.181507,87.251507,12.981507,205.781507,46.431507,18.861507,193.861507,60.461507,99.601507,25.361507
201.041507,65.811507,82.511507,84.011507,59.111507,54.231507,14.931507,51.411507,36.431507,37.761507
27.381507,12.981507,99.601507,62.651507,25.361507,59.981507,1.331507,44.181507,43.441507,18.861507
201.011507,90.051507,25.511507,61.051507,58.081507,82.481507,189.091507,65.811507,86.371507,94.831507
60.461507,63.961507,205.781507,44.181507,40.581507,193.861507,17.711507,46.431507,12.981507,27.381507
35.181507,58.081507,57.881507,82.481507,201.011507,86.371507,65.811507,46.431507,94.831507,85.631507
27.381507,193.861507,12.981507,44.181507,63.961507,43.441507,18.861507,25.361507,60.461507,205.781507
25.361507,96.061507,59.111507,36.431507,65.811507,82.511507,52.051507,201.041507,84.011507,41.741507
90.051507,67.741507,60.461507,51.511507,87.151507,59.611507,76.841507,168.441507,86.511507,61.831507
52.051507,54.231507,36.431507,189.121507,84.011507,14.931507,41.741507,51.411507,1.331507,82.511507
130.101507,118.941507,82.481507,104.781507,25.931507,85.501507,119.861507,82.511507,108.191507,49.911507
131.261507,94.051507,119.111507,237.441507,84.011507,94.711507,225.521507,69.471507,53.761507,122.611507
