"dist1","dist2","dist3","dist4","dist5","dist6","dist7","dist8","dist9","dist10"
1.8392552,1.9448881,2.7153869,2.0753758,1.4850743,1.1308934,3.0012171,1.8454689,2.0753758,1.1868167
2.5289759,1.9324607,0.8326358,1.1868167,3.6785104,2.1872224,0.8574906,0.062137,0.5530193,2.1872224
3.3802528,1.6466305,9.9046378,3.9519132,3.8338529,2.8831568,2.8334472,1.8765374,3.2559788,2.3301375
0.062137,3.2559788,2.7153869,1.9448881,5.9713657,2.7402417,9.1465664,1.1308934,2.7153869,1.4850743
1.6963401,1.6466305,0.869918,4.1818201,1.3794414,1.5223565,3.0322856,2.9577212,2.3052827,7.1146865
4.1258968,3.8338529,10.2712461,2.6532499,7.0960454,2.982576,3.8338529,1.6901264,3.7468611,3.7468611
3.2559788,2.0753758,1.4850743,1.8392552,1.8516826,1.9448881,1.1868167,2.8458746,1.8454689,5.9713657
2.3301375,3.3802528,9.9046378,2.0194525,1.8765374,6.7294371,3.8338529,2.8334472,1.6466305,2.0194525
3.8338529,2.5227622,1.8765374,1.24274,2.0070251,2.8831568,2.3301375,3.2559788,3.3802528,2.0194525
4.9150367,1.8765374,8.0902374,2.796165,1.5658524,1.8765374,2.8458746,3.7468611,1.9324607,2.3052827
1.8827511,4.1818201,0.8326358,2.1188717,1.2116715,0.8326358,1.6093483,2.9763623,3.3243295,1.9821703
0.8326358,6.586522,0.8326358,0.062137,2.6221814,3.4113213,2.6159677,3.3802528,2.6905321,4.0948283
1.8827511,1.2116715,3.0633541,1.6093483,2.1188717,0.062137,4.1818201,1.8516826,3.0633541,2.5289759
1.5223565,1.2116715,2.9577212,2.3052827,7.1146865,1.2116715,3.7655022,3.0322856,1.6466305,4.1818201
1.3421592,0.8388495,2.0753758,1.6342031,3.0322856,0.8264221,9.1403527,1.1557482,1.2116715,0.4660275
4.1258968,2.982576,2.1872224,1.6901264,7.0960454,3.8338529,1.8889648,0.062137,3.7468611,2.6532499
3.9519132,2.5227622,3.3802528,2.8831568,1.6466305,0.062137,3.2559788,2.0194525,1.24274,3.8338529
2.0753758,1.2116715,5.965152,0.8388495,0.4660275,2.6159677,1.24274,3.0322856,0.8264221,9.1403527
2.8831568,2.0194525,3.0633541,2.0070251,1.8765374,2.3301375,6.7294371,9.9046378,1.24274,0.062137
1.6528442,2.6159677,1.3421592,0.8388495,1.7025538,1.1557482,1.24274,0.4660275,1.24274,2.6532499
2.2493594,1.1868167,3.7468611,2.9577212,1.1868167,0.062137,3.8338529,1.0687564,2.982576,2.1872224
2.1375128,8.0902374,1.6093483,4.9150367,1.1557482,1.5658524,2.1375128,1.9324607,2.796165,2.7464554
2.7278143,1.9200333,2.1375128,0.062137,1.5658524,1.1557482,1.8765374,4.9150367,2.4357704,8.0902374
0.062137,3.7468611,1.1868167,2.9763623,2.6532499,10.2712461,2.982576,2.982576,2.2493594,2.1872224
2.796165,1.9324607,1.5658524,1.5658524,0.062137,2.4357704,2.7464554,1.8765374,8.0902374,1.1557482
3.3988939,3.7468611,4.0948283,3.2994747,1.5658524,0.6337974,2.8893705,1.5658524,2.6221814,3.7655022
1.1557482,2.796165,3.7468611,1.9200333,1.1557482,1.6093483,4.9150367,2.8458746,2.7278143,2.4357704
0.062137,2.0753758,1.2116715,1.24274,1.8827511,1.7025538,1.1557482,2.6159677,5.965152,1.6528442
2.796165,1.5658524,2.1375128,2.4357704,1.6093483,1.1557482,1.9200333,2.8458746,3.7468611,2.7464554
0.8264221,9.1403527,1.6342031,0.8388495,1.3421592,1.7025538,2.0753758,1.8827511,1.1557482,1.1557482
2.2493594,2.982576,3.8338529,1.0687564,1.8889648,2.9763623,10.2712461,7.0960454,0.062137,1.6901264
4.1258968,3.7779296,0.6337974,3.4361761,4.473864,0.6337974,3.6785104,3.9519132,6.2385548,1.2116715
1.24274,3.0322856,0.062137,1.6342031,0.4660275,3.0322856,1.7025538,0.8264221,0.8388495,1.2116715
3.4361761,3.0322856,0.6337974,3.0633541,0.062137,3.0322856,3.0012171,3.1317048,3.6785104,4.473864
0.062137,4.9150367,2.4357704,1.5658524,1.5596387,3.7468611,1.1557482,1.9200333,2.7464554,2.796165
3.0198582,3.3802528,2.8893705,0.8326358,3.7468611,2.7526691,2.6221814,6.586522,4.0948283,2.6159677
6.7294371,2.5227622,6.7294371,2.8831568,9.9046378,1.5223565,2.0070251,3.8338529,3.3802528,1.24274
2.9763623,3.8338529,1.6901264,10.2712461,1.6901264,2.2493594,2.1872224,2.9577212,1.3732277,1.8889648
3.7779296,3.3988939,2.8831568,1.8392552,1.6901264,1.6963401,9.9232789,6.7480782,0.062137,1.7025538
2.9577212,1.6901264,7.0960454,3.8338529,2.2493594,1.1868167,1.0687564,10.2712461,2.9763623,3.7468611
1.3608003,1.2862359,3.7779296,3.3988939,1.6901264,1.4167236,2.796165,1.0811838,0.9258413,2.8831568
2.7402417,9.1465664,3.0012171,1.9448881,2.8458746,0.8202084,1.1308934,1.1868167,1.4850743,1.8392552
3.8338529,2.9763623,3.8338529,1.1868167,3.7468611,1.0687564,1.8889648,10.2712461,7.0960454,0.062137
2.0070251,3.2559788,3.3802528,2.8831568,2.8334472,1.24274,3.8338529,9.9046378,2.3301375,3.0633541
0.8326358,3.3802528,2.6905321,0.6337974,2.8893705,1.5658524,3.3988939,4.0948283,0.062137,3.4113213
2.7402417,3.2559788,1.1308934,1.8516826,1.8454689,1.1868167,2.7153869,0.8202084,9.1465664,1.1868167
3.8338529,2.2493594,4.1258968,1.8889648,2.9577212,3.7468611,2.982576,1.6901264,2.1872224,1.1868167
1.5223565,2.8831568,3.3802528,1.24274,3.0633541,1.8765374,3.8338529,2.0194525,2.5227622,2.3301375
2.6905321,3.7468611,3.3802528,3.4113213,6.586522,3.3802528,3.2994747,0.6337974,3.3988939,2.6159677
1.4850743,1.8516826,2.7402417,0.8202084,2.8458746,1.8454689,2.7153869,1.1308934,3.0012171,3.2559788
2.6905321,2.6159677,3.7655022,2.8893705,3.2994747,0.8326358,4.0948283,2.6159677,2.7526691,3.7468611
1.6528442,2.0753758,1.8827511,0.062137,2.6532499,0.8388495,2.6159677,0.4660275,3.0322856,1.6342031
1.6901264,7.0960454,2.9577212,2.9763623,3.8338529,2.1872224,2.6532499,1.1868167,1.3732277,3.7468611
1.5658524,4.9150367,2.796165,1.8765374,2.8458746,1.9324607,2.7464554,1.1557482,8.0902374,0.062137
2.6159677,2.0753758,1.2116715,1.1557482,0.8388495,0.4660275,9.1403527,3.0322856,1.1557482,0.062137
1.7025538,2.0753758,2.6159677,1.8827511,0.8264221,9.1403527,3.0322856,0.8388495,1.24274,2.6532499
0.8202084,0.062137,1.9448881,1.8392552,2.0753758,1.8516826,3.2559788,1.8454689,9.1465664,9.1465664
0.062137,1.9448881,1.8454689,9.1465664,1.1308934,2.7402417,2.6221814,3.2559788,1.1868167,3.0012171
2.9763623,2.1872224,0.062137,2.6532499,1.3732277,2.2493594,1.1868167,2.982576,1.8889648,2.9577212
1.1308934,0.8202084,1.1868167,1.8454689,5.9713657,1.8392552,1.1868167,3.2559788,2.7402417,1.8516826
2.6532499,2.9577212,2.982576,4.1258968,7.0960454,1.1868167,3.7468611,2.1872224,1.8889648,1.0687564
3.2559788,1.1868167,2.0753758,1.8454689,2.7402417,1.8516826,2.8458746,2.6221814,0.8202084,1.8392552
3.2559788,1.1868167,1.8392552,3.0012171,1.1868167,1.4850743,9.1465664,2.6221814,1.8454689,2.8458746
1.1868167,0.062137,10.2712461,2.2493594,2.9763623,2.1872224,1.8889648,1.1868167,3.7468611,7.0960454
