,origin,destination,travel time(min),travel distance(km)
0,0,1,3.68,2.13
1,0,9,2.13,1.14
2,0,68,5.03,2.18
3,0,69,3.67,2.25
4,0,70,3.47,1.52
5,0,137,3.32,1.9
6,1,10,2.73,1.25
7,1,49,3.73,1.9
8,1,69,1.78,0.62
9,1,70,2.65,0.89
10,1,137,5.9,3.26
11,2,23,5.23,1.81
12,2,134,5.98,2.45
13,2,135,7.6,3.36
14,2,137,7.8,4.38
15,2,162,5.4,2.93
16,3,4,3.55,0.84
17,3,5,4.17,0.98
18,3,6,4.62,0.93
19,3,7,5.9,1.46
20,3,8,4.9,1.06
21,3,24,3.98,0.94
22,3,137,7.18,3.81
23,4,5,2.83,0.81
24,4,24,2.83,0.56
25,4,73,3.0,0.8
26,5,6,3.25,0.47
27,5,72,3.88,1.08
28,5,73,3.38,0.81
29,6,7,4.98,1.19
30,6,8,4.0,0.79
31,6,68,5.75,1.88
32,6,71,3.42,1.05
33,6,72,3.3,1.07
34,6,73,3.43,1.04
35,6,75,5.85,2.08
36,7,8,2.53,0.41
37,7,137,5.58,2.82
38,8,9,3.63,1.67
39,8,68,4.88,1.69
40,8,71,5.23,1.68
41,9,68,2.9,1.04
42,9,70,3.38,1.38
43,9,137,3.87,2.28
44,10,49,1.0,0.65
45,10,69,2.2,1.38
46,10,137,5.87,3.59
47,11,12,2.47,0.63
48,11,13,3.2,0.74
49,11,42,3.58,0.88
50,11,44,2.05,0.35
51,11,45,2.88,0.46
52,11,105,1.75,0.35
53,11,111,2.22,0.38
54,11,112,2.03,0.44
55,11,114,1.9,0.3
56,12,13,2.55,0.52
57,12,14,2.03,0.51
58,12,15,3.07,0.89
59,12,20,2.25,0.68
60,12,42,3.35,0.76
61,12,45,3.22,0.61
62,12,114,2.67,0.56
63,13,14,2.95,0.77
64,13,15,2.3,0.54
65,13,106,2.5,0.6
66,13,114,2.85,0.65
67,13,115,1.27,0.22
68,13,116,2.22,0.64
69,14,15,1.6,0.39
70,14,18,3.03,0.88
71,14,19,2.23,0.77
72,14,20,1.65,0.3
73,14,42,4.4,1.26
74,15,16,2.03,0.46
75,15,17,2.95,0.89
76,15,18,1.43,0.5
77,15,19,2.77,0.85
78,15,116,1.95,0.63
79,16,17,1.25,0.43
80,16,72,3.33,0.92
81,16,116,1.43,0.37
82,16,117,1.27,0.3
83,17,18,2.43,0.99
84,17,21,3.4,1.2
85,17,22,3.22,0.98
86,17,24,3.75,1.02
87,17,72,3.77,1.22
88,17,73,3.12,0.91
89,17,117,1.7,0.61
90,18,19,1.88,0.63
91,18,21,2.15,0.69
92,18,22,2.88,0.96
93,19,21,2.65,0.85
94,20,42,3.9,1.19
95,20,140,1.97,0.63
96,21,22,2.08,0.47
97,21,23,3.43,0.85
98,22,23,3.93,0.98
99,22,24,3.73,0.76
100,22,73,5.08,1.26
101,23,24,4.47,1.29
102,23,137,7.28,3.89
103,23,142,4.77,1.97
104,23,162,6.03,3.11
105,24,73,3.7,1.04
106,25,26,2.27,1.48
107,25,27,2.97,1.01
108,25,33,2.07,0.62
109,25,96,3.52,1.73
110,25,150,6.53,3.0
111,25,163,6.95,4.76
112,26,27,2.83,1.1
113,26,28,0.67,0.35
114,26,29,3.0,1.25
115,26,150,5.2,1.77
116,27,28,2.18,0.75
117,27,30,3.8,1.11
118,27,33,3.48,1.11
119,28,29,2.33,0.9
120,28,30,4.05,1.43
121,28,33,3.82,2.04
122,29,30,4.33,1.38
123,29,31,1.93,0.58
124,29,32,2.7,0.75
125,29,36,2.08,0.59
126,29,150,7.13,2.1
127,30,31,3.37,0.98
128,30,33,4.55,1.87
129,30,34,1.72,0.44
130,30,35,3.95,1.09
131,30,36,2.67,0.81
132,30,98,1.92,0.5
133,31,32,2.95,0.88
134,31,36,1.05,0.18
135,31,37,0.7,0.11
136,31,107,1.78,0.36
137,31,108,1.17,0.13
138,31,113,1.65,0.23
139,32,38,2.33,0.49
140,32,39,3.67,0.86
141,32,43,1.93,0.68
142,32,113,2.95,0.72
143,32,150,5.83,1.56
144,33,34,3.9,1.55
145,33,85,6.27,2.98
146,33,95,4.52,2.04
147,33,96,4.5,1.93
148,33,97,1.9,0.68
149,34,35,4.68,1.47
150,34,97,2.02,0.88
151,35,85,8.73,4.25
152,35,86,8.17,3.6
153,35,87,4.83,1.95
154,35,88,3.48,1.1
155,35,89,1.62,0.28
156,35,90,3.32,1.03
157,35,97,5.07,2.23
158,35,98,4.02,1.23
159,35,99,3.38,0.83
160,36,37,1.02,0.15
161,36,98,1.78,0.42
162,36,103,0.83,0.18
163,36,107,1.58,0.31
164,37,103,1.62,0.3
165,37,107,2.05,0.29
166,37,108,1.98,0.24
167,38,39,4.18,0.96
168,38,40,1.55,0.24
169,38,41,2.23,0.53
170,38,148,4.32,1.39
171,39,40,2.28,0.47
172,39,43,2.13,0.33
173,39,44,1.72,0.25
174,39,45,3.13,0.45
175,39,113,3.57,0.45
176,40,41,1.87,0.53
177,40,42,2.45,0.62
178,40,45,2.82,0.57
179,41,42,3.05,0.8
180,41,45,3.3,0.77
181,41,140,3.28,1.17
182,41,148,4.68,1.68
183,42,45,2.8,0.48
184,43,44,0.53,0.14
185,43,108,1.17,0.12
186,43,109,1.15,0.13
187,43,111,0.97,0.18
188,43,113,0.53,0.12
189,44,45,2.03,0.36
190,44,109,1.52,0.21
191,44,111,0.98,0.12
192,45,111,2.68,0.53
193,46,47,6.15,2.88
194,46,51,7.25,3.37
195,46,52,5.85,3.96
196,46,53,4.13,2.47
197,46,59,5.8,2.77
198,46,63,3.58,1.6
199,46,94,4.47,2.67
200,47,48,1.67,0.62
201,47,59,1.83,1.12
202,47,60,2.82,1.36
203,47,63,5.03,2.33
204,47,64,4.12,2.0
205,48,49,3.7,2.34
206,48,60,2.73,1.26
207,48,64,3.05,1.38
208,48,69,3.53,2.07
209,49,64,3.7,2.03
210,49,69,3.35,2.03
211,50,51,5.1,2.04
212,50,52,3.63,2.26
213,50,54,6.72,3.48
214,50,85,12.68,8.01
215,50,86,3.52,1.77
216,50,93,3.75,1.72
217,50,94,3.82,2.19
218,50,163,10.65,7.14
219,50,164,9.62,6.63
220,51,52,5.47,2.76
221,51,53,3.13,0.9
222,51,54,5.53,2.08
223,51,93,7.35,3.37
224,52,53,7.68,5.52
225,52,94,7.43,6.14
226,53,54,3.05,1.48
227,53,55,2.87,1.38
228,53,56,2.22,0.8
229,53,57,1.82,1.04
230,53,59,2.95,1.79
231,53,63,2.4,1.39
232,54,55,2.45,0.57
233,54,56,4.88,1.99
234,54,87,2.77,1.02
235,54,91,4.1,1.25
236,54,93,4.75,1.81
237,55,56,4.48,1.89
238,55,76,3.57,1.61
239,55,81,5.8,1.96
240,55,87,2.37,0.93
241,55,91,3.7,1.15
242,56,57,2.42,0.74
243,56,58,3.43,1.5
244,56,61,3.08,1.22
245,56,76,3.65,1.63
246,57,58,2.1,1.25
247,57,59,1.13,0.75
248,57,60,2.88,1.0
249,57,61,1.75,0.98
250,58,61,1.17,0.73
251,58,62,3.97,1.93
252,58,76,2.85,1.84
253,58,77,3.65,1.46
254,59,60,3.23,1.25
255,59,63,4.75,2.21
256,60,61,1.88,0.98
257,60,64,1.68,0.63
258,60,65,3.12,1.66
259,61,62,2.8,1.2
260,61,64,3.58,1.61
261,61,65,1.23,0.68
262,61,66,1.28,0.7
263,62,65,3.13,1.33
264,62,66,3.17,1.35
265,62,67,4.55,1.36
266,62,68,4.72,1.95
267,62,74,5.68,2.17
268,62,76,5.17,2.51
269,62,77,5.97,2.13
270,64,65,2.75,1.34
271,64,69,1.88,0.75
272,64,70,3.9,1.76
273,65,66,0.03,0.02
274,65,69,2.6,1.32
275,65,70,4.58,2.24
276,66,67,3.98,1.71
277,66,68,3.3,1.73
278,66,70,4.55,2.21
279,67,68,3.67,1.1
280,67,70,5.53,2.05
281,68,70,4.88,1.93
282,68,71,3.53,0.92
283,68,74,5.2,1.65
284,68,77,7.22,2.66
285,69,70,2.0,1.01
286,71,72,3.15,1.09
287,71,74,3.23,0.82
288,71,75,4.45,1.5
289,72,73,2.28,0.67
290,72,75,4.4,1.55
291,72,117,2.38,0.71
292,74,75,4.17,1.14
293,74,77,5.88,1.72
294,74,78,4.08,1.3
295,75,77,5.42,1.61
296,75,78,2.53,0.63
297,75,117,3.85,1.4
298,75,118,4.85,1.37
299,76,77,4.07,1.32
300,76,80,3.62,1.36
301,76,81,3.7,1.05
302,76,91,3.23,1.0
303,77,78,5.72,1.77
304,77,80,4.55,1.07
305,77,82,6.1,1.8
306,78,79,3.58,1.42
307,78,80,4.45,1.65
308,78,82,5.35,2.29
309,78,117,3.28,1.18
310,78,118,4.28,1.16
311,79,82,4.2,1.43
312,79,83,4.27,1.25
313,79,102,3.43,0.87
314,79,118,3.38,0.86
315,80,81,4.05,0.94
316,80,82,3.57,1.22
317,80,84,2.57,0.99
318,81,82,4.77,1.14
319,81,84,3.77,0.91
