Name,Lat,Long,Type,Order
TCATA Transit Center Benton Harbor,42.11849491,-86.45082973,,1
Madeline Ave & Jewett @Benton Manor,42.13082775,-86.45388519,,2
Collins Ave @ Benton Manor,42.13268958,-86.45128881,,3
Wauconda Ave & Hull Ave @ KPEP,42.1245738,-86.44603837,,4
Forest Ave & Edge Cumbe Ave,42.12190307,-86.43909576,,5
Highland Ave & Plum Ct. @ Blossom Acres,42.11602699,-86.42960809,,6
Highland Ave & Fair Ave @ Quik Way Store,42.11587877,-86.43641203,,7
McCord St. & Nate Wells Dr. @Boys & Girls Club,42.11279118,-86.44070606,,8
InterCare Benton Harbor,42.10241413,-86.43602474,,9
InterCare Benton Harbor,42.10241413,-86.43602474,,10
McCord St. & Nate Wells Dr. @Boys & Girls Club,42.11279118,-86.44070606,,11
Highland Ave & Fair Ave @ Quik Way Store,42.11587877,-86.43641203,,12
Highland Ave & Plum Ct. @ Blossom Acres,42.11602699,-86.42960809,,13
Forest Ave & Edge Cumbe Ave,42.12190307,-86.43909576,,14
Wauconda Ave & Hull Ave @ KPEP,42.1245738,-86.44603837,,15
Collins Ave @ Benton Manor,42.13268958,-86.45128881,,16
Madeline Ave & Jewett @Benton Manor,42.13082775,-86.45388519,,17
TCATA Transit Center Benton Harbor,42.11849491,-86.45082973,,18
